"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
3.076891958E0,-1.224987793E1,-1.313178467E3,1.664241791E1,1.313341051E3
3.086853958E0,-1.232769775E1,-1.313124878E3,1.648618317E1,1.313286226E3
3.096815958E0,-1.233279419E1,-1.313221436E3,1.652580261E1,1.313383318E3
3.106777958E0,-1.229977417E1,-1.313217773E3,1.661965942E1,1.313380531E3
3.116739958E0,-1.233319092E1,-1.313314941E3,1.652177429E1,1.313476765E3
3.126702958E0,-1.226428223E1,-1.313285034E3,1.655661011E1,1.313446655E3
3.136664958E0,-1.228396606E1,-1.313253296E3,1.663491821E1,1.313416094E3
3.146626958E0,-1.231237793E1,-1.313122070E3,1.638208008E1,1.313281972E3
3.156588958E0,-1.227929688E1,-1.313222046E3,1.656743622E1,1.313383951E3
3.166550958E0,-1.228170776E1,-1.313321899E3,1.641165924E1,1.313481859E3
3.176512958E0,-1.233309937E1,-1.313238525E3,1.644446564E1,1.313399387E3
3.186474958E0,-1.233047485E1,-1.313171021E3,1.661017609E1,1.313333951E3
3.196436958E0,-1.220376587E1,-1.313196899E3,1.649532318E1,1.313357196E3
3.206398958E0,-1.214437866E1,-1.313358398E3,1.654763031E1,1.313518783E3
3.216360958E0,-1.209765625E1,-1.313317749E3,1.651361847E1,1.313477279E3
3.226322958E0,-1.214184570E1,-1.313234497E3,1.652007294E1,1.313394526E3
3.236284958E0,-1.212939453E1,-1.313223633E3,1.640750122E1,1.313382137E3
