"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.823752958E0,1.089944153E2,-9.919436646E1,-1.393910828E2,2.028526038E2
1.833715958E0,1.089419250E2,-9.909123230E1,-1.394373322E2,2.028057814E2
1.843678958E0,1.089419250E2,-9.909123230E1,-1.394373322E2,2.028057814E2
1.853640958E0,1.091935730E2,-9.927508545E1,-1.393832397E2,2.029937597E2
1.863603958E0,1.090796814E2,-9.901502991E1,-1.393383026E2,2.027745438E2
1.873566958E0,1.089925842E2,-9.901979065E1,-1.391266937E2,2.025846472E2
1.883529958E0,1.090342102E2,-9.894053650E1,-1.391390533E2,2.025768124E2
1.893492958E0,1.090411072E2,-9.905957031E1,-1.390620575E2,2.025858271E2
1.903455958E0,1.090717468E2,-9.903837585E1,-1.391923828E2,2.026814379E2
1.913418958E0,1.090610657E2,-9.890396118E1,-1.393574371E2,2.027234690E2
1.923381958E0,1.089529724E2,-9.899295044E1,-1.394546204E2,2.027756040E2
1.933344958E0,1.090229797E2,-9.897059631E1,-1.394657898E2,2.028099987E2
1.943306958E0,1.089626160E2,-9.898321533E1,-1.393223267E2,2.026850742E2
1.953269958E0,1.088603210E2,-9.897471619E1,-1.391598206E2,2.025142454E2
1.963232958E0,1.088599548E2,-9.897808838E1,-1.391276550E2,2.024935953E2
1.973195958E0,1.089218445E2,-9.902848816E1,-1.390694122E2,2.025115085E2
1.983158958E0,1.089487000E2,-9.902690125E1,-1.390683136E2,2.025244238E2
1.993121958E0,1.089433899E2,-9.904391479E1,-1.390452423E2,2.025140456E2
2.003084958E0,1.088860779E2,-9.917451477E1,-1.389009094E2,2.024480797E2
2.013047958E0,1.088515930E2,-9.897463989E1,-1.390457458E2,2.024311441E2
2.023010958E0,1.089612732E2,-9.896255493E1,-1.387159882E2,2.022579336E2
2.032972958E0,1.089860535E2,-9.892869568E1,-1.388504791E2,2.023469847E2
2.042935958E0,1.090918274E2,-9.913690186E1,-1.390896301E2,2.026698728E2
2.052898958E0,1.089955750E2,-9.905303955E1,-1.392390747E2,2.026796979E2
2.062861958E0,1.090337219E2,-9.900901794E1,-1.392318115E2,2.026737168E2
2.072824958E0,-1.485925598E2,-5.215533447E2,-6.467236328E1,5.461503042E2
2.082787958E0,-2.218112793E2,-6.409017944E2,-4.357154846E1,6.795982884E2
2.092750958E0,-2.425632629E2,-6.747209473E2,-3.766584778E1,7.179860788E2
2.102713958E0,-2.487017517E2,-6.847421265E2,-3.542784119E1,7.293692295E2
2.112676958E0,-2.506246185E2,-6.878188477E2,-3.492492676E1,7.328896350E2
2.122638958E0,-2.512454071E2,-6.888804321E2,-3.468443298E1,7.340868574E2
2.132601958E0,-2.511743011E2,-6.882711792E2,-3.490859985E1,7.335014356E2
2.142564958E0,-2.513715820E2,-6.887700806E2,-3.493521118E1,7.340383949E2
2.152527958E0,-2.512006226E2,-6.886138306E2,-3.501907349E1,7.338372408E2
2.162490958E0,-2.510875854E2,-6.882293091E2,-3.486227417E1,7.334302527E2
2.172453958E0,-2.512923737E2,-6.886671143E2,-3.482295227E1,7.339093196E2
2.182416958E0,-2.509638214E2,-6.879949341E2,-3.478977966E1,7.331645093E2
2.192379958E0,-2.509930267E2,-6.881864014E2,-3.515267944E1,7.333714839E2
2.202342958E0,-2.513683929E2,-6.886789551E2,-3.486447144E1,7.339484338E2
2.212304958E0,-2.509403076E2,-6.878717041E2,-3.464741516E1,7.330340802E2
2.222267958E0,-2.511953430E2,-6.881535645E2,-3.484028625E1,7.333950328E2
2.232230958E0,-2.514380493E2,-6.885856323E2,-3.481646729E1,7.338824511E2
2.242193958E0,-2.511084747E2,-6.881398926E2,-3.493473816E1,7.333569484E2
2.252156958E0,-2.511309357E2,-6.884971313E2,-3.485343933E1,7.336959922E2
2.262119958E0,-2.509315033E2,-6.881661987E2,-3.490718079E1,7.333197445E2
2.272082958E0,-2.508837585E2,-6.881750488E2,-3.507507324E1,7.333197249E2
2.282045958E0,-2.512024078E2,-6.887215576E2,-3.482609558E1,7.339297586E2
2.292008958E0,-2.508358307E2,-6.879324951E2,-3.472067261E1,7.330588359E2
2.301970958E0,-2.508764648E2,-6.882683716E2,-3.475379944E1,7.333895135E2
2.311933958E0,-2.511949005E2,-6.888250122E2,-3.480274963E1,7.340231651E2
2.321896958E0,-2.508438416E2,-6.880497437E2,-3.460758972E1,7.331662621E2
2.331859958E0,-2.510668030E2,-6.883228149E2,-3.481242371E1,7.335085153E2
2.341822958E0,-2.512723999E2,-6.884031372E2,-3.488194275E1,7.336575824E2
2.351785958E0,-2.510022583E2,-6.878162842E2,-3.473927307E1,7.330076340E2
2.361748958E0,-2.511664124E2,-6.882460938E2,-3.476591492E1,7.334684186E2
2.371711958E0,-2.511698914E2,-6.887673340E2,-3.470840454E1,7.339560123E2
2.381674958E0,-2.509435425E2,-6.878901367E2,-3.484220886E1,7.330617172E2
2.391636958E0,-2.510185089E2,-6.879476929E2,-3.495777893E1,7.331468927E2
2.401599958E0,-2.510495911E2,-6.883571777E2,-3.490890503E1,7.335394556E2
2.411562958E0,-2.508988342E2,-6.878305664E2,-3.492720032E1,7.329945582E2
2.421525958E0,-2.509451904E2,-6.879381714E2,-3.457156372E1,7.330945432E2
2.431488958E0,-2.512062531E2,-6.882822266E2,-3.461323547E1,7.335087464E2
2.441451958E0,-2.511777344E2,-6.884171753E2,-3.466041565E1,7.336278388E2
2.451414958E0,-2.509022980E2,-6.878422241E2,-3.475544739E1,7.329985195E2
2.461377958E0,-2.510078125E2,-6.880521851E2,-3.454991150E1,7.332219498E2
2.471340958E0,-2.511929016E2,-6.883981934E2,-3.484307861E1,7.336238727E2
2.481302958E0,-2.514382935E2,-6.885783691E2,-3.481498718E1,7.338756497E2
2.491265958E0,-2.508961487E2,-6.878283691E2,-3.495845032E1,7.329930669E2
2.501228958E0,-2.509970398E2,-6.880295410E2,-3.511627197E1,7.332239193E2
2.511191958E0,-2.511233521E2,-6.884581299E2,-3.504345703E1,7.336658493E2
2.521154958E0,-2.511194611E2,-6.883245850E2,-3.491491699E1,7.335330732E2
2.531117958E0,-2.507821198E2,-6.878560181E2,-3.500376892E1,7.329821533E2
2.541080958E0,-2.509974518E2,-6.879658203E2,-3.490931702E1,7.331543842E2
2.551043958E0,-2.512799683E2,-6.882354736E2,-3.492286682E1,7.335048031E2
2.561006958E0,-2.512929840E2,-6.884525757E2,-3.494500732E1,7.337140222E2
2.570968958E0,-2.509425659E2,-6.878306274E2,-3.479974365E1,7.330035236E2
2.580931958E0,-2.508761597E2,-6.876390381E2,-3.489637756E1,7.328056027E2
2.590894958E0,-2.509119263E2,-6.880184937E2,-3.512690735E1,7.331849303E2
2.600857958E0,-2.511602325E2,-6.883145142E2,-3.517341614E1,7.335499315E2
2.610820958E0,-2.513725433E2,-6.885760498E2,-3.518032837E1,7.338683720E2
2.620783958E0,-2.509552002E2,-6.881893311E2,-3.520439148E1,7.333637686E2
2.630746958E0,-2.508058167E2,-6.876527710E2,-3.523237610E1,7.328104881E2
2.640709958E0,-2.508260498E2,-6.877220459E2,-3.507196045E1,7.328747247E2
2.650672958E0,-2.509976959E2,-6.879901733E2,-3.498487854E1,7.331809215E2
2.660634958E0,-2.511112061E2,-6.885206909E2,-3.507771301E1,7.337220356E2
2.670597958E0,-2.513044434E2,-6.885158691E2,-3.497048950E1,7.337785500E2
2.680560958E0,-2.510029297E2,-6.877787476E2,-3.508407593E1,7.329890645E2
2.690523958E0,-2.508382263E2,-6.875790405E2,-3.506085205E1,7.327441682E2
