"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.603584208E0,1.295446777E1,-3.635997772E1,-8.616244507E1,9.441309843E1
1.613613208E0,1.288861084E1,-3.628989410E1,-8.606741333E1,9.429036187E1
1.623642208E0,1.290716553E1,-3.613827515E1,-8.609902954E1,9.426352816E1
1.633672208E0,1.294445801E1,-3.620941162E1,-8.606604004E1,9.426581422E1
1.643701208E0,1.280200195E1,-3.620815277E1,-8.614984131E1,9.432240846E1
1.653730208E0,1.280480957E1,-3.629378510E1,-8.612908936E1,9.433674797E1
1.663759208E0,1.269134521E1,-3.631409454E1,-8.620324707E1,9.439694651E1
1.673788208E0,1.292297363E1,-3.635791779E1,-8.608480835E1,9.433713830E1
1.683817208E0,1.294287109E1,-3.643194580E1,-8.610610962E1,9.438785251E1
1.693846208E0,1.304956055E1,-3.643435669E1,-8.606118774E1,9.436250004E1
1.703875208E0,1.304174805E1,-3.643296051E1,-8.586123657E1,9.417855249E1
1.713905208E0,1.305987549E1,-3.644932556E1,-8.600952148E1,9.432259256E1
1.723934208E0,1.313812256E1,-3.632615662E1,-8.620117188E1,9.446079584E1
1.733963208E0,1.311199951E1,-3.625632477E1,-8.622274780E1,9.445002835E1
1.743992208E0,1.300079346E1,-3.632994843E1,-8.599276733E1,9.425307325E1
1.754021208E0,1.296643066E1,-3.633743286E1,-8.595635986E1,9.421800864E1
1.764050208E0,1.299444580E1,-3.637731171E1,-8.600955200E1,9.428577551E1
1.774079208E0,1.296118164E1,-3.633847046E1,-8.605172729E1,9.430469996E1
1.784108208E0,1.268420410E1,-3.630054474E1,-8.625814819E1,9.444091651E1
1.794137208E0,1.268420410E1,-3.630054474E1,-8.625814819E1,9.444091651E1
1.804167208E0,1.292260742E1,-3.641193390E1,-8.602319336E1,9.430171000E1
1.814196208E0,1.293792725E1,-3.637861633E1,-8.594277954E1,9.421759413E1
1.824225208E0,1.293627930E1,-3.641807556E1,-8.583251953E1,9.413206127E1
1.834254208E0,1.280194092E1,-3.631704712E1,-8.575018311E1,9.399952928E1
1.844283208E0,1.287005615E1,-3.632066345E1,-8.588873291E1,9.413662082E1
1.854312208E0,1.276538086E1,-3.630028534E1,-8.601205444E1,9.422706179E1
1.864341208E0,1.274365234E1,-3.640901184E1,-8.584490967E1,9.411357678E1
1.874370208E0,1.285900879E1,-3.635891724E1,-8.567660522E1,9.395640293E1
1.884400208E0,1.287493896E1,-3.635891724E1,-8.599649048E1,9.425036494E1
1.894429208E0,1.294250488E1,-3.643546295E1,-8.581671143E1,9.412523229E1
1.904458208E0,1.273010254E1,-3.626344299E1,-8.586746216E1,9.407610677E1
1.914487208E0,1.276177979E1,-3.620166779E1,-8.590151978E1,9.408769778E1
1.924516208E0,1.270599365E1,-3.626183319E1,-8.588946533E1,9.409231146E1
1.934545208E0,1.272570801E1,-3.623934937E1,-8.605206299E1,9.423476870E1
1.944574208E0,1.284466553E1,-3.627779388E1,-8.608581543E1,9.429650778E1
1.954604208E0,1.276391602E1,-3.623214722E1,-8.602633667E1,9.421367547E1
1.964633208E0,1.278851318E1,-3.627332306E1,-8.621362305E1,9.440386027E1
1.974662208E0,1.286358643E1,-3.637989807E1,-8.602621460E1,9.428403066E1
1.984691208E0,1.271655273E1,-3.639289093E1,-8.604943848E1,9.429029158E1
1.994720208E0,1.283489990E1,-3.649116516E1,-8.585742188E1,9.416919178E1
2.004749208E0,1.282934570E1,-3.649134827E1,-8.583688354E1,9.414978060E1
2.014778208E0,1.286053467E1,-3.649917603E1,-8.596441650E1,9.427334781E1
2.024807208E0,1.289123535E1,-3.636550140E1,-8.609152222E1,9.434184564E1
2.034837208E0,1.282873535E1,-3.631613159E1,-8.600036621E1,9.423110343E1
2.044866208E0,1.274462891E1,-3.631076813E1,-8.603637695E1,9.425049394E1
2.054895208E0,1.288555908E1,-3.641232300E1,-8.606530762E1,9.433521121E1
2.064924208E0,1.282043457E1,-3.635979462E1,-8.587643433E1,9.413373561E1
2.074953208E0,1.289001465E1,-3.637988281E1,-8.588229370E1,9.415634191E1
2.084982208E0,1.289001465E1,-3.637988281E1,-8.588229370E1,9.415634191E1
2.095011208E0,1.291442871E1,-3.629877472E1,-8.571917725E1,9.397957684E1
2.105040208E0,1.282586670E1,-3.638600159E1,-8.598953247E1,9.424777802E1
2.115070208E0,1.279785156E1,-3.641671753E1,-8.610968018E1,9.436545629E1
2.125099208E0,1.291497803E1,-3.645483398E1,-8.626278687E1,9.453581319E1
2.135128208E0,1.294036865E1,-3.640847015E1,-8.622845459E1,9.449008530E1
2.145157208E0,1.296777344E1,-3.638179779E1,-8.618551636E1,9.444438357E1
2.155186208E0,1.293518066E1,-3.648365784E1,-8.609762573E1,9.439903254E1
2.165215208E0,1.284759521E1,-3.640216827E1,-8.605087280E1,9.431294327E1
